,area,business_code,value
542,149800,A,12.0
543,149901,A,234.0
544,150000,A,3.0
545,150101,A,3.0
546,150200,A,3.0
547,150301,A,6.0
548,150302,A,3.0
549,150400,A,6.0
550,150500,A,3.0
551,150600,A,9.0
552,150700,A,9.0
553,150800,A,6.0
554,150900,A,3.0
555,151000,A,3.0
556,151100,A,48.0
557,151200,A,6.0
558,151301,A,6.0
559,151400,A,9.0
560,151500,A,12.0
561,151600,A,3.0
562,151700,A,69.0
563,151800,A,6.0
564,151900,A,12.0
565,152000,A,9.0
566,152101,A,3.0
567,152201,A,9.0
568,152300,A,0.0
569,152400,A,9.0
570,152500,A,6.0
571,152600,A,3.0
572,152700,A,0.0
573,152800,A,9.0
574,152900,A,6.0
575,153000,A,6.0
576,153100,A,3.0
577,153200,A,0.0
578,153301,A,0.0
579,153400,A,12.0
580,153500,A,6.0
581,153600,A,3.0
582,153700,A,3.0
583,153800,A,12.0
584,153900,A,3.0
585,154001,A,9.0
586,154101,A,12.0
587,154201,A,9.0
588,154202,A,9.0
589,154300,A,9.0
590,154400,A,6.0
591,154500,A,3.0
592,154600,A,
593,154701,A,6.0
594,154801,A,6.0
595,154802,A,6.0
596,154901,A,12.0
597,154902,A,12.0
598,155000,A,12.0
599,155100,A,3.0
600,155200,A,6.0
601,155301,A,3.0
602,155401,A,0.0
603,155500,A,6.0
604,155601,A,9.0
605,155602,A,12.0
606,155701,A,0.0
607,155702,A,12.0
608,155801,A,9.0
609,155901,A,6.0
610,156000,A,0.0
611,156101,A,0.0
612,156201,A,9.0
613,156301,A,3.0
614,156400,A,15.0
615,156500,A,9.0
616,156601,A,6.0
617,156700,A,3.0
618,156800,A,3.0
619,156901,A,3.0
620,157000,A,0.0
621,157101,A,57.0
622,157200,A,3.0
623,157301,A,3.0
624,157400,A,18.0
625,157500,A,6.0
626,157600,A,6.0
627,157701,A,3.0
628,157702,A,6.0
629,157800,A,6.0
630,157901,A,3.0
631,158001,A,3.0
632,158002,A,3.0
633,158101,A,18.0
634,158102,A,30.0
635,158200,A,9.0
636,158300,A,12.0
637,158401,A,6.0
638,158402,A,6.0
639,158501,A,3.0
640,158502,A,6.0
641,158601,A,9.0
642,158602,A,9.0
643,158603,A,3.0
644,158700,A,9.0
645,158800,A,6.0
646,158900,A,6.0
647,159000,A,6.0
648,159101,A,12.0
649,159201,A,6.0
650,159202,A,3.0
651,159301,A,24.0
652,159401,A,12.0
653,159500,A,9.0
654,159600,A,6.0
655,159700,A,3.0
656,159801,A,93.0
657,159900,A,6.0
658,160000,A,15.0
659,160100,A,21.0
660,160201,A,9.0
661,160202,A,6.0
662,160300,A,12.0
663,160401,A,9.0
664,160501,A,6.0
665,160601,A,9.0
666,160700,A,12.0
667,160800,A,18.0
668,160901,A,12.0
669,160902,A,15.0
670,161000,A,18.0
671,161100,A,9.0
672,161201,A,12.0
673,161300,A,9.0
674,161400,A,171.0
675,161500,A,12.0
676,161600,A,21.0
677,161700,A,
678,161800,A,9.0
679,161900,A,15.0
680,162000,A,15.0
681,162101,A,15.0
682,162102,A,18.0
683,162200,A,0.0
684,162300,A,57.0
685,162400,A,153.0
686,162500,A,6.0
687,162601,A,12.0
688,162602,A,6.0
689,162701,A,84.0
690,162800,A,12.0
691,162901,A,69.0
692,163001,A,27.0
693,163100,A,18.0
694,163200,A,24.0
695,163301,A,21.0
696,163302,A,18.0
697,163400,A,30.0
698,163501,A,6.0
699,163502,A,12.0
700,163600,A,12.0
701,163700,A,33.0
702,163801,A,27.0
703,163803,A,78.0
704,163901,A,12.0
705,163902,A,9.0
706,164001,A,15.0
707,164100,A,0.0
708,164201,A,12.0
709,164301,A,15.0
710,164302,A,15.0
711,164401,A,39.0
712,164500,A,33.0
713,164601,A,24.0
714,164602,A,15.0
715,164603,A,39.0
716,164700,A,24.0
717,164800,A,24.0
718,164900,A,18.0
719,165001,A,120.0
720,165101,A,72.0
721,165200,A,39.0
722,165301,A,33.0
723,165302,A,48.0
724,165400,A,33.0
725,165501,A,105.0
726,165502,A,45.0
727,165600,A,24.0
728,165700,A,45.0
729,165800,A,30.0
730,165901,A,45.0
731,166000,A,6.0
732,166100,A,39.0
733,166200,A,45.0
734,166301,A,63.0
735,166400,A,84.0
736,166500,A,114.0
737,166600,A,
738,166700,A,81.0
739,166801,A,
740,166900,A,66.0
741,167000,A,24.0
742,167101,A,39.0
743,167102,A,9.0
744,167200,A,33.0
745,167300,A,12.0
746,167400,A,135.0
747,167501,A,33.0
748,167600,A,15.0
749,167700,A,9.0
750,167800,A,24.0
751,167900,A,36.0
752,168001,A,12.0
753,168101,A,36.0
754,168200,A,12.0
755,168300,A,99.0
756,168400,A,27.0
757,168501,A,21.0
758,168502,A,42.0
759,168600,A,81.0
760,168701,A,231.0
761,168800,A,150.0
762,168901,A,33.0
763,169000,A,249.0
764,169100,A,207.0
765,169200,A,51.0
766,169301,A,249.0
767,169401,A,30.0
768,169500,A,24.0
769,169600,A,33.0
770,169700,A,264.0
771,169800,A,183.0
772,169901,A,147.0
773,170001,A,87.0
774,170101,A,225.0
775,170201,A,78.0
776,170300,A,60.0
777,170400,A,66.0
778,170501,A,30.0
779,170502,A,33.0
780,170600,A,159.0
781,170700,A,147.0
782,170802,A,24.0
783,170803,A,111.0
784,170901,A,231.0
785,171000,A,
786,171101,A,27.0
787,171201,A,264.0
788,171300,A,177.0
789,171400,A,33.0
790,171501,A,48.0
791,171502,A,15.0
792,171601,A,54.0
793,171700,A,408.0
794,171801,A,183.0
795,171803,A,36.0
796,171901,A,87.0
797,172001,A,45.0
798,172100,A,27.0
799,172201,A,18.0
800,172300,A,222.0
801,172401,A,84.0
802,172500,A,39.0
803,172601,A,6.0
804,172700,A,39.0
805,172800,A,102.0
806,172900,A,21.0
807,173000,A,102.0
808,173100,A,243.0
809,173201,A,54.0
810,173202,A,27.0
811,173300,A,129.0
812,173400,A,126.0
813,173500,A,315.0
814,173600,A,351.0
815,173700,A,345.0
816,173801,A,327.0
817,173901,A,33.0
818,173902,A,57.0
819,174001,A,51.0
820,174100,A,39.0
821,174200,A,36.0
822,174300,A,201.0
823,174400,A,258.0
824,174500,A,333.0
825,174601,A,144.0
826,174701,A,192.0
827,174801,A,234.0
828,174901,A,90.0
829,175001,A,108.0
830,175002,A,84.0
831,175100,A,186.0
832,175201,A,3.0
833,175301,A,15.0
834,175302,A,18.0
835,175401,A,12.0
836,175501,A,27.0
837,175601,A,18.0
838,175700,A,18.0
839,175801,A,30.0
840,175901,A,39.0
841,175902,A,30.0
842,176000,A,18.0
843,176101,A,36.0
844,176201,A,18.0
845,176202,A,18.0
846,176301,A,0.0
847,176400,A,18.0
848,176500,A,15.0
849,176600,A,21.0
850,176700,A,21.0
851,176800,A,27.0
852,176900,A,18.0
853,177000,A,18.0
854,177100,A,39.0
855,177200,A,24.0
856,177300,A,27.0
857,177400,A,15.0
858,177500,A,24.0
859,177600,A,15.0
860,177700,A,33.0
861,177800,A,27.0
862,177901,A,27.0
863,178000,A,27.0
864,178100,A,27.0
865,178201,A,15.0
866,178202,A,12.0
867,178301,A,24.0
868,178400,A,27.0
869,178500,A,36.0
870,178600,A,9.0
871,178701,A,30.0
872,178800,A,30.0
873,178901,A,3.0
874,179001,A,9.0
875,179100,A,27.0
876,179201,A,18.0
877,179202,A,15.0
878,179300,A,24.0
879,179401,A,6.0
880,179501,A,21.0
881,179502,A,24.0
882,179600,A,30.0
883,179700,A,36.0
884,179801,A,12.0
885,179901,A,54.0
886,180000,A,27.0
887,180100,A,21.0
888,180200,A,36.0
889,180300,A,27.0
890,180400,A,15.0
891,180500,A,42.0
892,180601,A,45.0
893,180700,A,36.0
894,180800,A,30.0
895,180900,A,30.0
896,181000,A,15.0
897,181101,A,33.0
898,181200,A,36.0
899,181301,A,9.0
900,181400,A,147.0
901,181500,A,141.0
902,181600,A,78.0
903,181700,A,177.0
904,181800,A,105.0
905,181900,A,33.0
906,182000,A,48.0
907,182101,A,225.0
908,182201,A,129.0
909,182300,A,51.0
910,182400,A,24.0
911,182500,A,261.0
912,182600,A,57.0
913,182700,A,57.0
914,182800,A,51.0
915,182900,A,36.0
916,183000,A,33.0
917,183101,A,153.0
918,183200,A,30.0
919,183300,A,30.0
920,183401,A,27.0
921,183500,A,39.0
922,183600,A,30.0
923,183701,A,51.0
924,183800,A,51.0
925,183900,A,42.0
926,184000,A,33.0
927,184100,A,6.0
928,184201,A,81.0
929,184300,A,36.0
930,184400,A,33.0
931,184501,A,24.0
932,184601,A,300.0
933,184700,A,42.0
934,184800,A,90.0
935,184900,A,150.0
936,185000,A,246.0
937,185100,A,
938,185200,A,108.0
939,185300,A,234.0
940,185400,A,243.0
941,185500,A,102.0
942,185600,A,483.0
943,185700,A,351.0
944,185800,A,438.0
945,185900,A,570.0
946,186000,A,123.0
947,186100,A,384.0
948,186200,A,51.0
949,186300,A,27.0
950,186400,A,60.0
951,186500,A,63.0
952,186600,A,63.0
953,186700,A,24.0
954,186800,A,81.0
955,186900,A,
956,187000,A,213.0
957,187100,A,168.0
958,187200,A,291.0
959,187300,A,57.0
960,187400,A,60.0
961,187500,A,294.0
962,187600,A,9.0
963,187701,A,465.0
964,187702,A,45.0
965,187800,A,333.0
966,187900,A,138.0
967,188001,A,90.0
968,188002,A,45.0
969,188100,A,
970,188200,A,96.0
971,188300,A,42.0
972,188400,A,39.0
973,188501,A,30.0
974,188502,A,15.0
975,188600,A,9.0
976,188701,A,39.0
977,188702,A,9.0
978,188800,A,33.0
979,188900,A,63.0
980,189000,A,27.0
981,189101,A,39.0
982,189102,A,18.0
983,189200,A,33.0
984,189300,A,33.0
985,189400,A,39.0
986,189500,A,3.0
987,189600,A,36.0
988,189700,A,120.0
989,189800,A,57.0
990,189900,A,33.0
991,190000,A,
992,190100,A,54.0
993,190200,A,57.0
994,190300,A,270.0
995,190400,A,27.0
996,190501,A,468.0
997,190601,A,135.0
998,190602,A,159.0
999,190700,A,
1000,190800,A,57.0
1001,190901,A,117.0
1002,190902,A,132.0
1003,191001,A,69.0
1004,191101,A,9.0
1005,191201,A,198.0
1006,191300,A,111.0
1007,191400,A,168.0
1008,191501,A,54.0
1009,191502,A,3.0
1010,191601,A,87.0
1011,191700,A,135.0
1012,191801,A,285.0
1013,191901,A,303.0
1014,192000,A,492.0
1015,192101,A,186.0
1016,192102,A,225.0
1017,192200,A,
1018,192300,A,63.0
1019,192400,A,48.0
1020,192500,A,609.0
1021,192600,A,24.0
1022,192700,A,
1023,192800,A,66.0
1024,192900,A,15.0
1025,193000,A,27.0
1026,193100,A,54.0
1027,193201,A,21.0
1028,193202,A,27.0
1029,193301,A,12.0
1030,193400,A,42.0
1031,193500,A,39.0
1032,193600,A,33.0
1033,193700,A,39.0
1034,193800,A,42.0
1035,193900,A,3.0
1036,194000,A,24.0
1037,194100,A,24.0
1038,194200,A,21.0
1039,194300,A,39.0
1040,194400,A,39.0
1041,194500,A,9.0
1042,194601,A,51.0
1043,194700,A,12.0
1044,194801,A,60.0
1045,194802,A,9.0
1046,194900,A,30.0
1047,195000,A,21.0
1048,195101,A,27.0
1049,195102,A,57.0
1050,195200,A,66.0
1051,195300,A,33.0
1052,195401,A,81.0
1053,195500,A,39.0
1054,195601,A,33.0
1055,195700,A,15.0
1056,195800,A,36.0
1057,195900,A,21.0
1058,196000,A,42.0
1059,196100,A,9.0
1060,196201,A,18.0
1061,196202,A,30.0
1062,196301,A,12.0
1063,196400,A,24.0
1064,196500,A,51.0
1065,196600,A,30.0
1066,196700,A,69.0
1067,196800,A,48.0
1068,196900,A,60.0
1069,197000,A,69.0
1070,197100,A,78.0
1071,197200,A,45.0
1072,197300,A,99.0
1073,197400,A,36.0
1074,197500,A,48.0
1075,197601,A,90.0
1076,197602,A,15.0
1077,197603,A,66.0
1078,197700,A,183.0
1079,197800,A,27.0
1080,197900,A,117.0
1081,198000,A,42.0
1082,198100,A,42.0
1083,198200,A,39.0
1084,198300,A,
1085,198400,A,33.0
1086,198500,A,33.0
1087,198600,A,45.0
1088,198700,A,87.0
1089,198800,A,21.0
1090,198900,A,33.0
1091,199000,A,42.0
1092,199100,A,45.0
1093,199200,A,42.0
1094,199300,A,
1095,199400,A,39.0
1096,199500,A,51.0
1097,199600,A,30.0
1098,199700,A,48.0
1099,199800,A,15.0
1100,199900,A,30.0
1101,200000,A,27.0
1102,200100,A,6.0
1103,200200,A,33.0
1104,200300,A,45.0
1105,200401,A,36.0
1106,200500,A,51.0
1107,200600,A,24.0
1108,200700,A,24.0
1109,200800,A,21.0
1110,200900,A,84.0
1111,201001,A,30.0
1112,201100,A,6.0
1113,201200,A,39.0
1114,201300,A,27.0
1115,201401,A,51.0
1116,201501,A,96.0
1117,201600,A,381.0
1118,201700,A,189.0
1119,201800,A,453.0
1120,201900,A,114.0
1121,202000,A,180.0
1122,202100,A,111.0
1123,202200,A,72.0
1124,202300,A,282.0
1125,202400,A,162.0
1126,202500,A,51.0
1127,202600,A,69.0
1128,202700,A,69.0
1129,202800,A,66.0
1130,202900,A,42.0
1131,203000,A,15.0
1132,203100,A,111.0
1133,203200,A,69.0
1134,203300,A,
1135,203400,A,294.0
1136,203500,A,231.0
1137,203600,A,90.0
1138,203700,A,60.0
1139,203800,A,
1140,203901,A,48.0
1141,203902,A,36.0
1142,204000,A,
1143,204101,A,189.0
1144,204200,A,168.0
1145,204301,A,81.0
1146,204400,A,333.0
1147,204500,A,228.0
1148,204600,A,39.0
1149,204700,A,114.0
1150,204800,A,414.0
1151,204900,A,96.0
1152,205000,A,111.0
1153,205100,A,426.0
1154,205201,A,294.0
1155,205300,A,189.0
1156,205401,A,396.0
1157,205500,A,51.0
1158,205601,A,54.0
1159,205700,A,54.0
1160,205800,A,84.0
1161,205900,A,84.0
1162,206000,A,174.0
1163,206100,A,141.0
1164,206200,A,72.0
1165,206300,A,111.0
1166,206400,A,108.0
1167,206500,A,78.0
1168,206601,A,84.0
1169,206700,A,84.0
1170,206801,A,12.0
1171,206802,A,
1172,206900,A,93.0
1173,207000,A,213.0
