,area,income,value
325,130300,<10000,348.0
326,130400,<10000,258.0
327,130500,<10000,393.0
328,130601,<10000,591.0
329,130700,<10000,552.0
330,130801,<10000,330.0
331,130901,<10000,390.0
332,130902,<10000,321.0
333,131000,<10000,432.0
334,131100,<10000,525.0
335,131200,<10000,312.0
336,131300,<10000,108.0
337,131400,<10000,219.0
338,131500,<10000,387.0
339,131600,<10000,285.0
340,131700,<10000,582.0
341,131801,<10000,339.0
342,131802,<10000,48.0
343,131900,<10000,372.0
344,132001,<10000,336.0
345,132002,<10000,297.0
346,132100,<10000,330.0
347,132200,<10000,528.0
348,132300,<10000,432.0
349,132400,<10000,501.0
350,132501,<10000,240.0
351,132600,<10000,492.0
352,132700,<10000,390.0
353,132800,<10000,339.0
354,132900,<10000,387.0
355,133000,<10000,420.0
356,133100,<10000,411.0
357,133200,<10000,279.0
358,133301,<10000,327.0
359,133400,<10000,531.0
360,133500,<10000,165.0
361,133600,<10000,384.0
362,133700,<10000,279.0
363,133800,<10000,294.0
364,133900,<10000,54.0
365,134000,<10000,246.0
366,134100,<10000,387.0
367,134200,<10000,498.0
368,134301,<10000,105.0
369,134302,<10000,171.0
370,134400,<10000,300.0
371,134500,<10000,489.0
372,134600,<10000,309.0
373,134700,<10000,387.0
374,134800,<10000,21.0
375,134900,<10000,399.0
376,135000,<10000,654.0
377,135100,<10000,1044.0
378,135200,<10000,339.0
379,135300,<10000,798.0
380,135401,<10000,387.0
381,135500,<10000,390.0
382,135600,<10000,432.0
383,135700,<10000,276.0
384,135800,<10000,267.0
385,135900,<10000,939.0
386,136001,<10000,330.0
387,136002,<10000,153.0
388,136100,<10000,420.0
389,136200,<10000,165.0
390,136300,<10000,444.0
391,136400,<10000,888.0
392,136501,<10000,345.0
393,136502,<10000,252.0
394,136601,<10000,588.0
395,136700,<10000,447.0
396,136801,<10000,306.0
397,136900,<10000,321.0
398,137000,<10000,312.0
399,137100,<10000,486.0
400,137201,<10000,393.0
401,137202,<10000,492.0
402,137300,<10000,192.0
403,137400,<10000,381.0
404,137500,<10000,246.0
405,137600,<10000,297.0
406,137701,<10000,441.0
407,137800,<10000,414.0
408,137901,<10000,510.0
409,138000,<10000,345.0
410,138100,<10000,411.0
411,138200,<10000,438.0
412,138301,<10000,303.0
413,138302,<10000,420.0
414,138400,<10000,432.0
415,138501,<10000,438.0
416,138502,<10000,138.0
417,138600,<10000,327.0
418,138700,<10000,588.0
419,138800,<10000,9.0
420,138901,<10000,384.0
421,139000,<10000,396.0
422,139100,<10000,327.0
423,139201,<10000,306.0
424,139300,<10000,360.0
425,139400,<10000,420.0
426,139501,<10000,348.0
427,139601,<10000,444.0
428,139700,<10000,495.0
429,139801,<10000,330.0
430,139802,<10000,348.0
431,139900,<10000,462.0
432,140000,<10000,633.0
433,140100,<10000,291.0
434,140200,<10000,693.0
435,140300,<10000,747.0
436,140400,<10000,573.0
437,140500,<10000,546.0
438,140601,<10000,330.0
439,140700,<10000,456.0
440,140800,<10000,693.0
441,140901,<10000,426.0
442,140902,<10000,234.0
443,141000,<10000,600.0
444,141101,<10000,321.0
445,141102,<10000,171.0
446,141201,<10000,153.0
447,141300,<10000,426.0
448,141400,<10000,
449,141500,<10000,393.0
450,141600,<10000,432.0
451,141700,<10000,309.0
452,141801,<10000,240.0
453,141802,<10000,249.0
454,141900,<10000,342.0
455,142001,<10000,375.0
456,142002,<10000,198.0
457,142101,<10000,519.0
458,142201,<10000,333.0
459,142202,<10000,276.0
460,142301,<10000,531.0
461,142400,<10000,375.0
462,142501,<10000,255.0
463,142600,<10000,321.0
464,142700,<10000,408.0
465,142801,<10000,258.0
466,142802,<10000,237.0
467,142901,<10000,351.0
468,143000,<10000,465.0
