,index,business_code,sex,age,ethnicity,value
434,143958,E,1,55-59,1,1600
435,143963,E,1,55-59,2,1500
436,143968,E,1,55-59,4,1600
437,144008,E,2,60-64,1,1247
438,144018,E,2,65-999,1,489
439,144028,E,2,20-24,1,1065
440,144038,E,2,25-29,1,1317
441,144048,E,2,30-34,1,1304
442,144058,E,2,35-39,1,894
443,144063,E,2,35-39,4,3452
444,144073,E,2,40-44,1,1525
445,144078,E,2,40-44,4,1343
446,144088,E,2,45-49,1,1540
447,144098,E,2,50-54,1,1151
448,144108,E,2,55-59,1,1151
449,144413,F,1,15-19,1,532
450,144423,F,1,60-64,1,2052
451,144433,F,1,65-999,1,1692
452,144443,F,1,20-24,1,1115
453,144448,F,1,20-24,2,1040
454,144453,F,1,20-24,3,1040
455,144463,F,1,25-29,1,1419
456,144468,F,1,25-29,4,1151
457,144478,F,1,30-34,1,1488
458,144483,F,1,30-34,2,1292
459,144488,F,1,30-34,3,1438
460,144493,F,1,30-34,4,1755
461,144503,F,1,35-39,1,1928
462,144508,F,1,35-39,2,1630
463,144513,F,1,35-39,4,1429
464,144523,F,1,40-44,1,1726
465,144528,F,1,40-44,4,1463
466,144538,F,1,45-49,1,2033
467,144543,F,1,45-49,4,1438
468,144553,F,1,50-54,1,1784
469,144558,F,1,50-54,4,1534
470,144568,F,1,55-59,1,2206
471,144608,F,2,15-19,1,672
472,144618,F,2,60-64,1,1137
473,144628,F,2,20-24,1,563
474,144638,F,2,25-29,1,1156
475,144648,F,2,30-34,1,1686
476,144653,F,2,30-34,4,1200
477,144663,F,2,35-39,1,1438
478,144668,F,2,35-39,4,1247
479,144678,F,2,40-44,1,1496
480,144683,F,2,40-44,4,2110
481,144693,F,2,45-49,1,1343
482,144703,F,2,50-54,1,1381
483,144713,F,2,55-59,1,1726
484,144953,G,1,15-19,1,356
485,144958,G,1,15-19,2,465
486,144963,G,1,15-19,3,500
487,144968,G,1,15-19,4,336
488,144978,G,1,60-64,1,1189
489,144983,G,1,60-64,4,1155
490,144993,G,1,65-999,1,896
491,145003,G,1,20-24,1,826
492,145008,G,1,20-24,2,863
493,145013,G,1,20-24,3,834
494,145018,G,1,20-24,4,702
495,145028,G,1,25-29,1,1080
496,145033,G,1,25-29,2,1008
497,145038,G,1,25-29,3,1236
498,145043,G,1,25-29,4,1305
499,145053,G,1,30-34,1,1510
500,145058,G,1,30-34,2,1093
501,145063,G,1,30-34,3,1080
502,145068,G,1,30-34,4,1100
503,145078,G,1,35-39,1,1630
504,145083,G,1,35-39,4,1218
505,145093,G,1,40-44,1,1534
506,145098,G,1,40-44,2,1280
507,145103,G,1,40-44,4,1200
508,145113,G,1,45-49,1,1554
509,145118,G,1,45-49,4,1280
510,145128,G,1,50-54,1,1918
511,145133,G,1,50-54,4,1151
512,145143,G,1,55-59,1,1200
513,145148,G,1,55-59,2,1055
514,145153,G,1,55-59,4,1120
515,145198,G,2,15-19,1,240
516,145203,G,2,15-19,2,282
517,145208,G,2,15-19,3,513
518,145213,G,2,15-19,4,240
519,145223,G,2,60-64,1,940
520,145233,G,2,65-999,1,560
521,145243,G,2,20-24,1,720
522,145248,G,2,20-24,2,840
523,145253,G,2,20-24,3,862
524,145258,G,2,20-24,4,616
525,145268,G,2,25-29,1,1091
526,145273,G,2,25-29,2,1036
527,145278,G,2,25-29,3,950
528,145283,G,2,25-29,4,944
529,145293,G,2,30-34,1,841
530,145298,G,2,30-34,2,858
531,145303,G,2,30-34,3,1060
532,145308,G,2,30-34,4,774
533,145318,G,2,35-39,1,954
534,145323,G,2,35-39,2,1000
535,145328,G,2,35-39,3,1000
536,145333,G,2,35-39,4,1000
537,145343,G,2,40-44,1,1029
538,145348,G,2,40-44,2,1128
539,145353,G,2,40-44,4,1026
540,145363,G,2,45-49,1,1120
541,145368,G,2,45-49,2,1026
542,145373,G,2,45-49,4,962
543,145383,G,2,50-54,1,997
544,145388,G,2,50-54,2,759
545,145393,G,2,50-54,4,900
