Number of dependent children,0,1,2,3,4
361400,483,132,120,42,6
361500,1101,141,135,45,12
361600,1077,165,147,42,21
361700,729,120,117,51,21
361900,477,84,78,24,18
362000,564,84,51,12,12
362100,576,102,81,30,15
362200,546,99,72,33,18
362300,351,57,69,24,18
362400,732,147,123,48,15
362500,693,102,75,36,18
362600,297,60,60,15,9
362700,303,69,81,27,6
362800,312,66,60,36,12
362900,588,105,105,36,12
363000,351,102,63,24,6
363100,159,39,24,9,3
363300,573,72,72,21,12
77,1057278,213894,206706,74325,30192
99,177,33,24,9,0
343000,177,33,24,9,0
