Number of dependent children,0,1,2,3,4
138700,612,186,117,33,9
138900,834,234,180,48,9
139000,627,132,129,48,15
139100,351,84,75,33,33
139200,750,120,120,24,9
139300,567,126,186,48,9
139400,585,135,132,45,15
139500,510,129,93,24,12
139600,489,165,129,33,12
139700,876,192,153,24,21
139800,822,207,177,42,24
139900,768,192,198,51,6
140000,813,198,237,75,12
140100,681,129,111,42,15
140200,666,219,183,51,12
140300,582,189,141,30,6
140400,546,174,105,42,18
140500,696,183,246,57,9
140600,390,117,99,42,27
140700,348,81,84,39,36
140800,645,237,207,63,12
140900,849,237,198,39,21
141000,798,222,171,69,15
141100,1227,204,165,48,9
141200,348,69,54,12,0
141300,660,135,117,33,9
141500,495,126,93,18,6
141600,639,132,141,57,6
141700,528,99,90,30,9
141800,1200,183,216,69,9
141900,537,132,186,60,12
142000,891,159,117,36,12
142100,666,177,141,33,12
142200,807,258,213,48,9
142300,471,150,117,69,45
142400,555,132,168,54,9
142500,390,102,81,18,6
142600,561,120,87,27,6
142700,924,147,198,60,6
142800,1131,261,186,45,15
142900,384,150,102,27,15
143000,1029,165,201,66,9
143100,816,180,186,54,6
143200,657,132,141,45,9
143300,753,153,153,33,6
143400,735,165,99,18,12
143500,921,210,237,63,12
143600,525,120,111,42,12
143700,657,144,153,42,3
143800,759,180,186,39,9
143900,504,138,117,24,3
144000,702,207,339,111,18
144100,831,186,174,45,12
144200,39,6,3,0,3
144300,810,219,183,51,18
144400,672,183,186,45,9
144500,651,168,150,30,6
144600,444,60,48,12,6
144700,597,228,186,72,66
144800,573,159,126,21,6
144900,423,114,123,18,6
145000,873,180,135,33,12
145100,843,243,261,72,18
145200,480,135,114,60,54
145300,825,141,93,21,9
145400,39,3,0,0,0
145500,261,45,24,6,0
145600,687,183,159,39,21
145700,462,105,117,15,0
145800,420,177,141,69,60
145900,186,36,21,6,0
146000,450,123,90,33,0
146100,690,153,174,60,27
146200,825,222,171,51,15
146300,678,201,156,111,90
146400,615,150,168,45,9
146500,456,150,99,33,15
146600,522,132,132,33,24
146700,54,6,3,0,0
146800,594,153,126,57,24
146900,381,45,57,9,0
147000,636,183,144,84,60
147100,813,162,108,33,21
147200,882,246,165,54,21
