Household composition,Total households - household composition
    169200,1713
    169300,834
    169400,687
    169500,573
    169600,963
    169700,1047
    169800,339
    169900,531
    170000,1035
    170100,552
    170200,564
    170300,597
    170400,330
    170500,792
    170600,504
    170700,582
    170800,477
    170900,705
    171000,0
    171100,603
    171200,822
    171300,324
    171400,948
    171500,1659
    171600,1251
    171700,645
    171800,915
    171900,753
    172000,495
    172100,894
    172200,573
    172300,549
    172400,711
    172500,165
    172600,198
    172700,228
    172800,870
    172900,318
    173000,504
    173100,696
    173200,1299
    173300,759
    173400,678
    173500,567
    173600,486
    173700,477
    173800,624
    173900,1848
    174000,1086
    174100,1029
    174200,747
    174300,429
    174400,432
    174500,468
    174600,471
    174700,378
    174800,423
    174900,1326
    175000,1785
    175100,288
    175200,66
    175300,948
    175400,183
    175500,849
    175600,240
    175700,714
    175800,1437
    175900,1446
    176000,825
    176100,1128
    176200,1497
    176300,36
    176400,945
    176500,984
    176600,864
    176700,576
    176800,960
    176900,855
    177000,960
    177100,1209
    177200,1395
    177300,813
    177400,981
    177500,639
    177600,813
    177700,1185
    177800,873
    177900,1476
    178000,1338
    178100,1398
    178200,1410
    178300,1107
    178400,693
    178500,1026
    178600,312
    178700,966
    178800,1122
    178900,231
    179000,90
    179100,942
    179200,189
    179300,1221
    179400,366
    179500,1344
    179600,1257
    179700,1305
    179800,633
    179900,1278
    180000,630
    180100,1029
    180200,1461
    180300,828
    180400,669
    180500,789
    180600,843
    180700,960
    180800,744
    180900,765
    181000,855
    181100,1059
    181200,957
    181300,138
    181400,507
    181500,570
    181600,465
    181700,417
    181800,531
    181900,432
    182000,252
    182100,489
    182200,411
    182300,240
    182400,171
    182500,810
    182600,564
    182700,1017
    182800,1071
    182900,417
    183000,522
    183100,318
    183200,438
    183300,387
    183400,480
    183500,642
    183600,720
    183700,624
    183800,855
    183900,759
    184000,669
    184100,180
    184200,897
    184300,582
    184400,741
    184500,180
    184600,591
    184700,144
    184800,819
    184900,303
    185000,294
    185100,0
    185200,393
    185300,549
    185400,393
    185500,1101
    185600,657
    185700,408
    185800,870
    185900,840
    186000,1626
    186100,543
    186200,678
    186300,294
    186400,729
    186500,732
    186600,804
    186700,372
    186800,1020
    186900,0
    187000,402
    187100,432
    187200,462
    187300,918
    187400,693
    187500,465
    187700,843
    187800,654
    187900,645
    188000,729
    188100,0
    188200,387
    188300,660
    188400,756
    188500,975
    188600,144
    188700,603
    188800,882
    188900,945
    189000,885
    189100,1017
    189200,855
    189300,834
    189400,444
    189500,0
    189600,258
    189700,1224
    197800,54
    201600,639
    201800,609
    258500,3
    258600,0
    258700,0
  04,110919
    189800,60
    190100,123
    190200,1029
    190300,738
    190400,291
    190500,1287
    190600,2034
    190700,0
    190800,78
    190900,1161
    191000,1314
    191100,279
    191200,744
    191300,717
    191400,678
    191500,408
    191600,606
    191700,825
    191800,663
    191900,1047
    192000,876
    192100,1746
    192200,0
    192300,408
    192400,327
    192500,1080
    192600,1131
    192700,0
    192800,1503
    192900,936
    193000,1326
    193100,1284
    193200,1818
    193300,1434
    193400,1083
    193500,1551
    193600,1011
    193700,1089
    193800,1092
    193900,132
    194000,1011
    194100,624
    194200,351
    194300,1104
    194400,777
    194500,60
    194600,1341
    194700,258
    194800,1968
    194900,1224
    195000,189
    195100,1200
    195200,1413
    195300,795
    195400,1656
    195500,987
    195600,456
    195700,261
    195800,1422
    195900,1068
    196000,1227
    196100,201
    196200,1695
    196300,504
    196400,1218
    196500,165
    196600,912
    196700,849
    196800,1068
    196900,1107
    197000,1086
    197100,1449
    197200,963
    197300,1071
    197400,1002
    197500,1137
    197600,1230
    197700,585
    197900,540
    198000,402
    198100,651
    198200,558
    198300,0
    198400,564
    198500,348
    198600,660
    198700,660
    198800,687
    198900,597
    199000,705
    199100,819
    199200,939
    199300,39
    199400,639
    199500,684
    199600,705
    199700,723
    199800,378
    199900,522
    200000,597
    200100,228
    200200,561
    200300,894
    200400,348
    200500,1143
    200600,717
    200700,606
    200800,831
    200900,1011
    201000,462
    201100,102
    201200,693
    201300,288
    201400,1011
    201500,1179
    201700,690
    201900,381
    202000,618
    202100,405
    202200,546
    202300,756
    202400,465
    202500,579
    202600,1080
    202700,1320
    202800,1245
    202900,1050
    203000,546
    203100,432
    203200,1350
    203300,0
    203400,498
    203500,651
    203600,549
    203700,1158
    203800,30
    203900,1314
    204000,0
    204100,603
    204200,579
    204300,396
    204400,1143
    204500,408
    204600,93
    258800,0
    258900,12
  05,16410
    204700,462
    204800,675
    204900,405
    205000,348
    205100,534
    205200,660
    205300,399
    205400,1035
    205500,537
    205600,345
    205700,465
    205800,720
    205900,477
    206000,843
    206100,765
    206200,447
    206300,630
    206400,774
    206500,543
    206600,678
    206700,807
    206800,153
    206900,738
    207000,948
    207100,711
    207200,696
    207300,624
    259200,0
  06,60237
    189900,30
    207400,405
    207500,0
    207600,324
    207700,255
    207800,1548
    207900,456
    208000,708
    208100,468
    208200,480
    208300,915
    208400,429
    208500,225
    208600,267
    208700,492
    208800,654
    208900,51
    209000,768
    209100,723
    209200,753
    209300,93
    209400,987
    209500,660
    209600,771
    209700,954
    209800,846
    209900,1014
    210000,1149
    210100,90
    210200,669
    210300,708
    210400,417
    210500,165
    210600,882
    210700,912
    210800,777
    210900,960
    211000,1041
    211100,957
    211200,402
    211300,747
    211400,480
    211500,741
    211600,216
    211700,972
    211800,978
    211900,1143
    212000,357
    212100,618
    212200,495
    212300,762
    212400,255
    212500,495
    212600,498
    212700,0
    212800,123
    212900,510
    213000,651
    213100,867
    213200,1026
    213300,1092
    213400,1179
    213500,765
    213600,615
    213700,1143
    213800,651
    213900,735
    214000,633
    214100,582
    214200,648
    214300,126
    214400,837
    214500,837
    214600,930
    214700,786
    214800,630
    214900,1152
    215000,1245
    215100,1029
    215200,996
    215300,984
    215400,891
    215500,336
    215600,867
    215700,843
    215800,1026
    215900,900
    216000,729
    216100,714
    226200,6
    259400,0
    259500,0
    259800,0
  07,45249
    216200,3
    216300,1416
    216400,330
    216500,558
    216600,792
    216700,687
    216800,975
    216900,1020
    217000,525
    217100,591
    217200,939
    217300,1038
    217400,1803
    217500,1458
    217600,996
    217700,27
    217800,1206
    217900,870
    218000,1131
    218100,1182
    218200,264
    218300,1215
    218400,1383
    218500,1536
    218600,1080
    218700,1200
    218800,276
    218900,1077
    219000,615
    219100,702
    219200,309
    219300,624
    219400,744
    219500,765
    219600,1404
    219700,210
    219800,564
    219900,240
    220000,510
    220100,756
    220300,873
    220400,693
    220500,774
    220600,456
    220700,570
    220800,471
    220900,612
    221000,801
    221100,450
    221200,285
    221300,654
    221400,597
    221500,207
    221600,726
    221700,588
    221800,765
    221900,1083
    222000,276
    222100,834
    222200,525
    259000,0
    259100,0
  08,90408
    187600,18
    190000,0
    220200,54
    222300,423
    222400,474
    222500,633
    222600,624
    222700,555
    222800,411
    222900,492
    223000,339
    223100,450
    223200,219
    223300,429
    223400,492
    223500,525
    223600,636
    223700,687
    223800,651
