sa2,ethnicity,age,fully_imms,partial_imms
102000,Pacific,5-12,0.3333333333333333,0.3333333333333333
102100,Asian,1-4,1.0,0.0
102100,Maori,1-4,0.4098360655737705,0.14754098360655737
102100,Others,1-4,0.46153846153846156,0.0
102100,Maori,13-17,0.8194444444444444,0.05555555555555555
102100,Others,13-17,0.2727272727272727,0.09090909090909091
102100,Maori,5-12,0.7272727272727273,0.0743801652892562
102100,Others,5-12,0.3157894736842105,0.15789473684210525
102100,Pacific,5-12,0.3333333333333333,0.3333333333333333
102200,Asian,1-4,0.5454545454545454,0.0
102200,Maori,1-4,0.6333333333333333,0.06666666666666667
102200,Others,1-4,0.65625,0.03125
102200,Pacific,1-4,0.6,0.2
102200,Asian,13-17,0.42857142857142855,0.0
102200,Maori,13-17,0.8727272727272727,0.03636363636363636
102200,Others,13-17,0.7941176470588235,0.08088235294117647
102200,Pacific,13-17,0.6666666666666666,0.3333333333333333
102200,Asian,5-12,0.5,0.1
102200,Maori,5-12,0.7446808510638298,0.0851063829787234
102200,Others,5-12,0.864516129032258,0.03225806451612903
102200,Pacific,5-12,0.7,0.1
102300,Asian,1-4,1.0,0.0
102300,Maori,1-4,0.5,0.25
102300,Others,1-4,0.7419354838709677,0.0
102300,Pacific,1-4,0.625,0.0
102300,Maori,13-17,0.8360655737704918,0.09836065573770492
102300,Others,13-17,0.8421052631578947,0.05263157894736842
102300,Pacific,13-17,0.5,0.0
102300,Asian,5-12,0.5,0.0
102300,Maori,5-12,0.821917808219178,0.0547945205479452
102300,Others,5-12,0.819672131147541,0.03278688524590164
102300,Pacific,5-12,1.0,0.0
102400,Asian,1-4,1.0,0.0
102400,Maori,1-4,0.6666666666666666,0.022222222222222223
102400,Others,1-4,0.625,0.0625
102400,Pacific,1-4,1.0,0.0
102400,Asian,13-17,0.8,0.2
102400,Maori,13-17,0.855072463768116,0.057971014492753624
102400,Others,13-17,0.654320987654321,0.07407407407407407
102400,Pacific,13-17,1.0,0.0
102400,Maori,5-12,0.7764705882352941,0.10588235294117647
102400,Others,5-12,0.6266666666666667,0.05333333333333334
102400,Pacific,5-12,1.0,0.0
102500,Asian,1-4,0.5,0.0
102500,Maori,1-4,0.5,0.125
102500,Others,1-4,0.7037037037037037,0.14814814814814814
102500,Asian,13-17,0.75,0.0
102500,Maori,13-17,0.8125,0.0625
102500,Others,13-17,0.86,0.0
102500,Asian,5-12,0.36363636363636365,0.0
102500,Maori,5-12,0.8333333333333334,0.05555555555555555
102500,Others,5-12,0.8214285714285714,0.047619047619047616
102500,Pacific,5-12,1.0,0.0
102600,Asian,1-4,1.0,0.0
102600,Maori,1-4,0.5555555555555556,0.1111111111111111
102600,Others,1-4,0.7058823529411765,0.0392156862745098
102600,Pacific,1-4,0.5,0.5
102600,Asian,13-17,0.75,0.0
102600,Maori,13-17,0.8837209302325582,0.06976744186046512
102600,Others,13-17,0.8303571428571429,0.03571428571428571
102600,Pacific,13-17,0.75,0.25
102600,Asian,5-12,1.0,0.0
102600,Maori,5-12,0.8307692307692308,0.046153846153846156
102600,Others,5-12,0.7916666666666666,0.05
102600,Pacific,5-12,0.875,0.0
102700,Maori,1-4,0.5662650602409639,0.14457831325301204
102700,Others,1-4,0.4,0.0
102700,Asian,13-17,1.0,0.0
102700,Maori,13-17,0.8651685393258427,0.0898876404494382
102700,Others,13-17,0.75,0.0
102700,Maori,5-12,0.7956204379562044,0.10948905109489052
102700,Others,5-12,0.8888888888888888,0.0
102700,Pacific,5-12,0.25,0.25
102800,Asian,1-4,1.0,0.0
102800,Maori,1-4,0.7407407407407407,0.07407407407407407
102800,Others,1-4,0.7592592592592593,0.07407407407407407
102800,Pacific,1-4,0.0,0.0
102800,Asian,13-17,1.0,0.0
102800,Maori,13-17,0.8461538461538461,0.019230769230769232
102800,Others,13-17,0.828125,0.078125
102800,Pacific,13-17,0.5,0.25
102800,Unknown,13-17,0.0,0.0
102800,Asian,5-12,1.0,0.0
102800,Maori,5-12,0.8571428571428571,0.017857142857142856
102800,Others,5-12,0.8214285714285714,0.047619047619047616
102800,Pacific,5-12,0.6,0.4
102900,Asian,1-4,1.0,0.0
102900,Maori,1-4,0.3111111111111111,0.15555555555555556
102900,Others,1-4,0.5,0.2
102900,Pacific,1-4,0.0,1.0
102900,Asian,13-17,1.0,0.0
102900,Maori,13-17,0.7346938775510204,0.08163265306122448
102900,Others,13-17,0.5416666666666666,0.0
102900,Asian,5-12,0.5,0.0
102900,Maori,5-12,0.7281553398058253,0.04854368932038835
102900,Others,5-12,0.3,0.1
102900,Pacific,5-12,0.5,0.0
103000,Asian,1-4,0.8333333333333334,0.05555555555555555
103000,Maori,1-4,0.5818181818181818,0.10909090909090909
103000,Others,1-4,0.8125,0.08333333333333333
103000,Pacific,1-4,1.0,0.0
103000,Asian,13-17,0.45454545454545453,0.18181818181818182
