SA2 Code,Family Type Code,People Count Code,Dependent Children Count Code,Count
204200,2,4,11,s
131500,3,4,311,12
300300,2,6,311,s
198400,2,4,111,s
114700,3,4,311,s
160300,2,3,111,90
163900,2,7,411,s
321400,3,4,311,9
246000,3,4,111,6
149400,3,5,211,s
125600,2,8,413,s
308000,2,4,111,9
345500,3,3,111,s
306500,3,3,11,s
148900,3,7,412,s
255700,2,3,911,s
249500,3,5,311,s
224000,2,3,111,33
166300,2,6,311,s
123000,3,4,311,12
214800,2,7,311,s
141000,3,6,311,s
113800,2,4,211,s
146100,3,7,311,s
361500,2,4,11,6
208300,2,5,311,39
140900,2,6,311,s
151900,3,3,11,15
172800,1,2,11,309
225300,2,9,412,s
209100,2,6,111,s
166400,2,7,411,s
116800,3,4,211,s
192100,3,4,111,s
345100,3,3,111,s
330400,2,8,413,s
180700,2,4,211,93
112800,2,6,211,s
146300,3,5,211,s
163800,2,3,911,s
131900,3,3,11,12
212400,2,3,911,s
168500,2,6,411,9
193800,2,5,311,12
352900,2,5,111,s
126400,2,3,111,114
167800,3,2,11,45
332000,3,2,11,36
200300,3,4,311,s
160400,2,5,11,12
219800,3,3,211,6
220000,2,8,413,s
154900,2,6,411,9
151800,3,7,413,s
104500,3,4,311,9
187200,3,2,11,18
363300,2,7,411,s
328400,3,4,11,s
235300,3,5,111,s
189100,2,3,11,30
227600,3,4,311,s
257000,2,5,211,s
177900,3,4,311,9
231000,3,4,311,s
309200,2,4,111,s
179800,2,4,11,6
209900,3,5,111,s
160800,3,4,211,s
349800,2,6,411,6
207200,2,8,413,s
187400,3,3,211,33
193100,1,2,11,345
255400,3,4,311,s
310700,2,8,412,s
217400,3,5,11,s
234200,3,7,911,s
254400,3,4,211,s
325200,3,2,11,9
115300,1,2,11,108
351200,3,4,111,s
154400,3,8,311,s
116200,3,3,911,s
242500,3,4,311,s
120400,2,6,411,s
104300,2,4,211,24
172400,2,6,411,6
334400,3,2,11,12
208900,2,4,111,s
237400,3,5,411,s
222300,3,3,11,s
242100,3,2,11,33
345900,3,2,111,s
249000,1,2,11,180
217800,2,6,111,s
216600,3,2,11,21
135600,2,5,111,s
140800,2,6,411,9
199200,2,4,11,6
251500,2,7,412,s
137400,2,3,11,66
121500,2,3,11,75
191700,1,2,11,315
230000,3,4,311,s
214500,3,3,111,s
250000,2,4,111,9
124800,1,2,11,264
217000,2,4,111,s
319800,2,3,111,42
255900,3,2,111,12
251100,3,4,311,s
250900,3,3,911,s
335300,2,5,911,s
362600,3,4,911,s
228800,3,2,911,s
239200,3,2,911,s
237200,2,3,11,24
191700,3,4,211,s
217000,2,4,211,18
193400,2,10,414,s
183700,3,4,111,s
191400,3,4,311,s
350400,2,7,412,s
175600,1,2,11,54
246100,3,4,311,s
256100,2,5,211,6
120900,2,6,311,s
165900,2,7,211,s
355200,3,5,411,s
105200,3,3,11,s
150300,2,9,311,s
115700,3,3,11,6
174200,3,6,412,s
189000,3,3,911,s
319800,3,3,11,s
316400,2,5,311,s
214600,2,7,411,s
205000,2,5,11,s
159300,3,4,111,s
125100,1,2,11,s
329500,3,3,11,6
231700,2,9,413,s
241400,3,4,911,s
143500,2,4,11,36
154800,3,5,211,s
184300,2,5,311,15
232500,2,6,211,s
227900,3,5,211,s
326500,2,5,311,24
359300,3,2,11,s
174600,2,3,111,24
234100,2,4,211,33
127800,3,4,11,s
350000,2,8,412,s
242400,2,7,412,s
168100,2,5,311,9
171600,2,5,111,s
148800,2,5,11,s
341400,3,4,311,s
110400,2,4,211,117
112600,2,4,111,15
330500,2,4,911,s
319500,2,6,211,s
323100,2,7,311,s
186400,3,9,414,s
307900,3,2,11,21
349600,2,5,311,27
355600,2,6,411,6
213500,2,5,211,s
241400,2,7,412,s
160000,2,6,411,21
199700,2,4,11,s
314100,2,8,411,s
239200,3,4,311,21
248000,3,6,412,s
251400,1,2,11,378
123900,2,4,211,162
116100,2,5,11,s
332100,3,5,311,s
130000,1,2,11,225
257100,2,4,111,9
149000,3,3,911,s
102300,3,2,111,18
136700,2,7,211,s
352100,3,3,911,s
234600,2,5,211,s
120600,3,6,211,s
114000,2,6,411,15
228300,3,2,111,42
110700,2,3,111,78
159500,3,4,911,s
328000,3,2,111,24
209000,2,4,11,9
249500,2,7,412,s
304800,2,5,311,24
343700,3,3,11,s
196000,2,8,412,s
339800,1,2,11,174
164000,3,4,211,s
172400,3,5,411,s
159100,3,6,211,s
156700,2,4,111,18
197400,1,2,11,303
160200,2,8,412,6
174300,3,2,11,9
165300,2,8,413,s
120900,3,7,211,s
202300,2,4,11,9
193700,3,2,11,24
344900,2,5,211,s
314900,2,10,415,s
149800,3,7,311,s
210900,2,3,111,51
184400,3,5,411,s
257100,2,4,211,81
193000,3,3,11,s
140300,3,2,111,36
113400,3,4,211,s
319000,2,4,211,75
155700,2,4,11,18
219100,2,7,311,s
178600,2,3,111,21
320300,2,6,11,s
342400,2,3,111,21
218400,2,7,412,s
212300,2,4,11,9
164200,2,5,311,27
172300,2,7,412,s
127900,2,3,11,51
145800,2,6,111,6
359700,2,11,416,s
191500,2,3,11,24
313600,2,7,412,s
186800,3,5,411,6
154900,3,5,311,s
173100,3,4,911,s
222900,2,3,911,s
122100,3,4,311,6
142700,1,2,11,495
149700,2,4,11,45
177100,3,5,311,s
205700,3,5,311,s
228100,1,2,11,399
318300,2,7,911,s
101100,3,7,412,s
192300,1,2,11,114
103600,2,4,11,s
206200,2,3,111,24
127200,3,5,111,s
330600,3,4,211,s
357300,2,5,311,9
240600,2,4,911,s
321500,3,3,211,s
179100,3,6,412,6
358100,2,6,311,s
126600,2,5,11,s
160900,2,7,111,s
159900,1,2,11,90
227600,2,9,414,s
196700,3,6,412,s
147900,2,4,211,6
251500,3,3,211,s
164800,2,4,11,s
247300,2,7,412,s
195300,3,5,311,s
158700,2,8,311,s
304800,2,6,411,s
171300,3,4,311,s
140700,3,5,411,6
159600,3,5,311,s
322700,2,4,11,6
205100,2,6,211,s
246100,2,3,11,69
175300,2,3,111,144
214400,3,2,111,48
237300,2,5,111,s
254700,2,3,111,63
200900,2,4,111,12
338500,2,4,11,9
255100,3,5,211,s
311700,2,4,111,s
137600,3,5,311,s
336000,3,4,211,s
143800,3,3,211,21
120100,3,3,111,s
205200,2,4,211,48
305700,1,2,11,s
104600,2,7,411,s
103100,2,3,111,66
234100,3,4,211,s
148600,2,4,111,24
191500,2,5,111,s
227200,2,5,211,6
164300,2,7,311,s
361100,2,5,211,s
211000,2,4,11,9
115400,2,4,211,75
317400,1,2,11,543
107400,3,3,211,36
354100,2,9,211,s
159900,2,8,211,s
160500,2,3,111,69
190900,2,5,311,57
202700,3,3,911,s
174000,2,7,412,s
246600,2,4,911,s
230700,3,7,413,s
311900,3,4,311,s
145000,2,4,911,s
204600,2,3,111,s
168000,2,5,111,s
145800,3,7,413,s
247800,2,5,11,9
153700,3,2,911,s
100800,3,5,11,s
181100,3,2,911,s
207600,2,4,111,6
242500,2,9,414,s
